年龄,身高,学历,工资,家乡,婚姻,住房,自我介绍,对象年龄,对象身高,对象学历,对象薪水,对象家乡,对象婚姻,对象住房,最低工资,最高工资,平均工资,对象最低年龄,对象最高年龄,对象平均年龄,对象最低身高,对象最高身高,对象平均身高,对象最低薪水,对象最高薪水,对象平均薪水
50,165,高中,2000以下,内蒙古自治区,离异,以后告诉你,"['希望', '找到', '真诚', '自信', '阳光', '相扶', '相持', '生活']",44 - 55,160 - 211,"初中,中专/职高/技校,高中,大专,本科,硕士,博士","2000以下,2000-5000,5000-10000,10000-20000,20000-50000",内蒙古自治区,不限,不限,2000,2000,2000,44,55,49.5,160,211,185.5,0,0,0
57,160,高中,2000-5000,浙江省,离异,以后告诉你,"['希望', '过客', '盼望', '找到', '爱', '我会', '努力', '寻找', '珍惜', '放手']",50 - 61,160 - 211,"初中,中专/职高/技校,高中,大专,本科,硕士,博士","2000以下,2000-5000,5000-10000,10000-20000,20000-50000",浙江省,不限,不限,2000,5000,3500,50,61,55.5,160,211,185.5,0,0,0
62,162,初中,2000-5000,浙江省,离异,已购房(无贷款),"['浙江省', '宁波市', '网', '真心', '寻找', '谱', '希望', '生活', '中', '相互', '扶持', '幸福', '安逸', '美好生活']",56 - 61,162 - 182,不限,"2000以下,2000-5000,5000-10000,10000-20000,20000-50000",浙江省,不限,"以后再告诉你,与父母同住,需要时购置,已购房(无贷款),住单位房,住亲朋家",2000,5000,3500,56,61,58.5,162,182,172,0,0,0
27,149,初中,2000以下,浙江省,离异,以后告诉你,"['希望', '找到', '真诚', '自信', '阳光', '相扶', '相持', '生活']",24 - 32,149 - 174,不限,0-0,浙江省,不限,不限,2000,2000,2000,24,32,28,149,174,161.5,0,0,0
65,162,大专,2000以下,安徽省,丧偶,已购房(无贷款),"['性格特点', '内惠', '外秀', '性格开朗', '文静', '大方', '业余时间', '喜欢', '运动', '打球', '太极拳', '看电视', '听', '音乐', '烹调', '打理', '家务', '憧憬', '生活', '懂', '爱', '相互', '关心体贴', '人共筑', '暖', '巢', '携手', '赏', '夕阳', '希望', '爱人', '身心健康', '喜欢', '整洁', '关心体贴', '住房', '国企', '退休']",58 - 65,169 - 182,不限,"2000以下,2000-5000,5000-10000,10000-20000,20000-50000",安徽省,"离异,丧偶",已购房(无贷款),2000,2000,2000,58,65,61.5,169,182,175.5,0,0,0
52,160,大专,2000-5000,江西省,离异,与父母同住,"['爱情', '很重', '两个', '感情', '第一位', '心目', '中', '理想', '伴侣', '体贴', '稳重', '懂得', '知足', '懂得', '珍惜', '懂得', '懂得', '宽容', '相互信任', '理解', '相互', '包容', '希望', '找到', '真爱']",43 - 48,173 - 180,不限,"2000-5000,5000-10000,10000-20000,20000-50000",江西省,"离异,丧偶",已购房(无贷款),2000,5000,3500,43,48,45.5,173,180,176.5,5000,5000,5000
62,160,高中,2000-5000,江西省,离异,以后告诉你,"['希望', '过客', '盼望', '找到', '爱', '我会', '努力', '寻找', '珍惜', '放手']",56 - 67,160 - 211,"初中,中专/职高/技校,高中,大专,本科,硕士,博士","2000以下,2000-5000,5000-10000,10000-20000,20000-50000",江西省,不限,不限,2000,5000,3500,56,67,61.5,160,211,185.5,0,0,0
62,155,中专/职高/技校,2000-5000,江西省,离异,以后再告诉你,"['正直', '善良', '温柔', '女性', '喜欢', '听歌', '唱歌', '散步', '看书', '种植', '上网', '来到', '平台', '想', '找寻到', '一位', '相爱', '相惜', '老伴', '牵手', '期待']",55 - 66,155 - 175,不限,0-0,江西省,不限,不限,2000,5000,3500,55,66,60.5,155,175,165,0,0,0
54,175,中专/职高/技校,2000-5000,安徽省,离异,以后告诉你,"['来到', '希望', '朋友', '期待', '快快', '发信']",48 - 53,160 - 196,"初中,中专/职高/技校,高中,大专,本科,硕士,博士","2000以下,2000-5000,5000-10000,10000-20000,20000-50000",安徽省,未婚,不限,2000,5000,3500,48,53,50.5,160,196,178,0,0,0
53,166,高中,2000-5000,福建省,离异,以后再告诉你,"['3g', '用户', '希望', '过客', '盼望', '建成', '家园', '期待', '到来']",47 - 55,166 - 186,不限,"10000-20000,20000-50000",福建省,未婚,已购房(无贷款),2000,5000,3500,47,55,51,166,186,176,20000,20000,20000
